2018-01-12,中银国际    ,000800,一汽轿车 ,一汽轿车(000800)徐留平到任开启一汽集团改革大幕-180108                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/report_gg_p277/                                                          ,51pdf,
2018-01-12,中银国际    ,002126,银轮股份 ,"银轮股份(002126)乘用车业务拓展顺利,新能源及尾气处理保长期增长-180108"                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p277/                                                          ,51pdf,
2018-01-12,中银国际    ,000887,中鼎股份 ,"中鼎股份(000887)主业已成霸业,智能电动新领军企业-180108"                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p277/                                                          ,51pdf,
2018-01-12,民生证券    ,603816,顾家家居 ,"顾家家居(603816)布局华中基地,增加软体及定制家居产能助力公司成长-180112"                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/report_gg_p277/                                                          ,51pdf,
2018-01-12,华创证券    ,300316,晶盛机电 ,"晶盛机电(300316)点评：再中光伏大单,看好单晶扩产+半导体硅片国产化推动公司高速成长-180112"                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p277/                                                          ,51pdf,
2018-01-12,广发证券    ,000718,苏宁环球 ,苏宁环球（000718） 项目资源优质，关注企业价值修复-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://www.51pdf.com.cn/report_gg_p277/                                                          ,51pdf,
2018-01-12,申万宏源    ,002841,视源股份 ,"视源股份(002841)显示板卡和教育平板龙头地位稳固,扩展白电智控和教育整体解决方案贡献新增亮点-180112"                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p277/                                                          ,51pdf,
2018-01-12,东兴证券    ,002373,千方科技 ,千方科技（002373）深度报告：智慧交通稳步增长，智慧安防大有可为-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://www.51pdf.com.cn/report_gg_p277/                                                          ,51pdf,
2018-01-12,太平洋证券   ,600293,三峡新材 ,三峡新材（600293）基本面向好，业绩增长可期-180110                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,国海证券    ,600525,长园集团 ,长园集团(600525)事件点评：股权之争和解，公司治理再上新台阶-180110                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,国海证券    ,603938,三孚股份 ,三孚股份(603938)三氯氢硅行业高度景气，行业龙头拟投资2.87亿元进入含硅电子特种气体领域-180111                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,安信证券    ,600985,雷鸣科化 ,雷鸣科化(600985)重组草案出台，低估值优势明显-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,安信证券    ,601952,苏垦农发 ,苏垦农发(601952)业绩稳健，种植优质标的有望持续稳定增长！-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,安信证券    ,002353,杰瑞股份 ,杰瑞股份(002353)“奋斗者”再出击提振信心，油价高涨业绩或迎反弹-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,高华证券    ,002027,分众传媒 ,分众传媒(002027)投资收益推动公司的最新2017年指引高于预期-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,安信证券    ,603939,益丰药房 ,益丰药房(603939)益丰药房：收购再下一城，江西江苏湖南三省市场进一步巩固-180107                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,天风证券    ,603056,德邦股份 ,德邦股份(603056)零担龙头即将登陆！详解德邦物流-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,华创证券    ,600566,济川药业 ,"济川药业(600566)蒲地蓝调入多省医保目录,助力业绩继续快速增长-180112"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,华创证券    ,002645,华宏科技 ,"华宏科技(002645)产业升级构筑行业蓝海,细分龙头喜迎确定增长-180110"                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,海通证券    ,002508,老板电器 ,"老板电器(002508)公司公告点评-员工持股亮信心,名气增资助发展-180112"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,民生证券    ,300487,蓝晓科技 ,"蓝晓科技(300487)获多晶硅脱硼大单,新能源树脂材料高增长可期-180111"                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
