2018-01-01,安信证券,002677,浙江美大,浙江美大(002677)营销投入有望进一步加大-180101                  ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,天风证券,603618,杭电股份,"杭电股份(603618)收购富春江光电布局光棒,老牌线缆龙头开启新征程-171231"    ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,天风证券,300633,开立医疗,"开立医疗(300633)签订股权收购意向书,有望完善内窥镜领域布局-180101"      ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,天风证券,600487,亨通光电,"亨通光电(600487)宁苏量子干线持续推进,第一梯队受益产业化加速-171230"     ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,广发证券,300285,国瓷材料,国瓷材料（300285）重要股东增持，彰显对公司长期发展信心-180101           ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,国泰君安,600521,华海药业,"华海药业(600521)首批一致性评价品种通过,有望带来业绩弹性-180101"       ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,华泰证券,000888,峨眉山A,峨眉山A(000888)西成高铁开通，客流增速拐点-171229                ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,招商证券,002491,通鼎互联,通鼎互联（002491）光棒产能扩张夯实基础，信息安全未来大有可为-171230        ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,招商证券,002547,春兴精工,春兴精工（002547）CALIENT收购方案变更，光通信布局稳步推进-171231      ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,招商证券,002313,日海通讯,日海通讯（002313）携手中移物联，推进云+端战略-171229               ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,招商证券,600777,新潮能源,新潮能源（600777）美国税改直接受益，业绩释放在即-171229              ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,招商证券,300502,新易盛 ,新易盛（300502）200G产品亮相ECOC展，持续推进高速光模块布局-171229     ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,招商证券,300502,新易盛 ,新易盛（300502）布局中高速光模块，业绩增长可期-171229               ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,招商证券,603508,思维列控,思维列控（603508）股权激励彰显信心，业绩有望重回增长通道-171228          ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
2018-01-01,招商证券,600562,国睿科技,国睿科技（600562）母公司改制完成，未来军工集团改制将逐步推进-171230        ,http://www.51pdf.com.cn/report_gg_p331/,51pdf,
